2021/01/23 11:40:18 ======================================================
2021/01/23 11:40:22 batch 1Succ/Prec:35.4/56.0
2021/01/23 11:40:25 batch 2Succ/Prec:43.9/86.0
2021/01/23 11:40:28 batch 3Succ/Prec:10.9/16.1
2021/01/23 11:40:29 batch 4Succ/Prec:7.8/12.1
2021/01/23 11:40:31 batch 5Succ/Prec:44.0/78.4
2021/01/23 11:40:31 batch 6Succ/Prec:56.1/89.6
2021/01/23 11:40:33 batch 7Succ/Prec:24.5/42.6
2021/01/23 11:40:33 batch 8Succ/Prec:13.9/30.6
2021/01/23 11:40:34 batch 9Succ/Prec:57.3/88.3
2021/01/23 11:40:36 batch 10Succ/Prec:4.0/3.6
2021/01/23 11:40:37 batch 11Succ/Prec:53.4/75.8
2021/01/23 11:40:38 batch 12Succ/Prec:47.9/89.6
2021/01/23 11:40:39 batch 13Succ/Prec:9.7/10.8
2021/01/23 11:40:40 batch 14Succ/Prec:13.4/17.7
2021/01/23 11:40:42 batch 15Succ/Prec:36.1/71.7
2021/01/23 11:40:46 batch 16Succ/Prec:47.0/82.4
2021/01/23 11:40:51 batch 17Succ/Prec:8.9/42.9
2021/01/23 11:40:52 batch 18Succ/Prec:28.1/77.0
2021/01/23 11:40:54 batch 19Succ/Prec:48.7/85.1
2021/01/23 11:40:55 batch 20Succ/Prec:13.6/16.6
2021/01/23 11:40:58 batch 21Succ/Prec:51.0/84.6
2021/01/23 11:40:59 batch 22Succ/Prec:13.2/67.0
2021/01/23 11:41:03 batch 23Succ/Prec:22.3/42.6
2021/01/23 11:41:04 batch 24Succ/Prec:54.3/85.1
2021/01/23 11:41:07 batch 25Succ/Prec:19.7/44.5
2021/01/23 11:41:09 batch 26Succ/Prec:8.9/17.1
2021/01/23 11:41:11 batch 27Succ/Prec:10.6/20.5
2021/01/23 11:41:12 batch 28Succ/Prec:4.5/3.6
2021/01/23 11:41:13 batch 29Succ/Prec:9.4/11.9
2021/01/23 11:41:16 batch 30Succ/Prec:38.4/65.9
2021/01/23 11:41:19 batch 31Succ/Prec:55.1/91.3
2021/01/23 11:41:21 batch 32Succ/Prec:7.8/23.5
2021/01/23 11:41:24 batch 33Succ/Prec:4.9/20.6
2021/01/23 11:41:25 batch 34Succ/Prec:40.6/63.3
2021/01/23 11:41:27 batch 35Succ/Prec:35.8/55.1
2021/01/23 11:41:35 batch 36Succ/Prec:28.4/65.5
2021/01/23 11:41:44 batch 37Succ/Prec:34.2/74.4
2021/01/23 11:41:49 batch 38Succ/Prec:51.2/81.3
2021/01/23 11:41:51 batch 39Succ/Prec:5.7/6.6
2021/01/23 11:41:55 batch 40Succ/Prec:3.6/9.8
2021/01/23 11:42:00 batch 41Succ/Prec:27.2/47.0
2021/01/23 11:42:05 batch 42Succ/Prec:6.0/6.0
2021/01/23 11:42:07 batch 43Succ/Prec:38.3/74.7
2021/01/23 11:42:10 batch 44Succ/Prec:17.9/24.2
2021/01/23 11:42:13 batch 45Succ/Prec:59.2/90.5
2021/01/23 11:42:15 batch 46Succ/Prec:7.9/64.0
2021/01/23 11:42:19 batch 47Succ/Prec:30.1/47.0
2021/01/23 11:42:21 batch 48Succ/Prec:13.1/21.3
2021/01/23 11:42:24 batch 49Succ/Prec:55.5/88.3
2021/01/23 11:42:26 batch 50Succ/Prec:11.4/19.5
2021/01/23 11:42:28 batch 51Succ/Prec:48.7/80.0
2021/01/23 11:42:29 batch 52Succ/Prec:41.1/81.8
2021/01/23 11:42:30 batch 53Succ/Prec:58.0/90.0
2021/01/23 11:42:31 batch 54Succ/Prec:46.2/81.2
2021/01/23 11:42:32 batch 55Succ/Prec:60.0/91.6
2021/01/23 11:42:33 batch 56Succ/Prec:49.2/90.4
2021/01/23 11:42:34 batch 57Succ/Prec:18.7/36.3
2021/01/23 11:42:35 batch 58Succ/Prec:43.8/77.3
2021/01/23 11:42:38 batch 59Succ/Prec:9.9/11.8
2021/01/23 11:42:39 batch 60Succ/Prec:4.0/3.8
2021/01/23 11:42:41 batch 61Succ/Prec:7.4/10.5
2021/01/23 11:42:43 batch 62Succ/Prec:53.6/89.0
2021/01/23 11:42:43 mean Succ/Prec 28.36892247043364/52.394875164257556
