2021/01/19 10:34:17 ======================================================
2021/01/19 10:34:25 batch 1Succ/Prec:44.2/78.1
2021/01/19 10:34:30 batch 2Succ/Prec:48.8/87.4
2021/01/19 10:34:38 batch 3Succ/Prec:49.0/82.5
2021/01/19 10:34:40 batch 4Succ/Prec:18.2/27.0
2021/01/19 10:34:43 batch 5Succ/Prec:48.0/87.0
2021/01/19 10:34:44 batch 6Succ/Prec:67.0/94.0
2021/01/19 10:34:46 batch 7Succ/Prec:36.0/63.7
2021/01/19 10:34:47 batch 8Succ/Prec:17.7/33.3
2021/01/19 10:34:49 batch 9Succ/Prec:58.1/88.7
2021/01/19 10:34:52 batch 10Succ/Prec:8.1/7.9
2021/01/19 10:34:54 batch 11Succ/Prec:49.3/72.4
2021/01/19 10:34:55 batch 12Succ/Prec:48.2/89.3
2021/01/19 10:34:58 batch 13Succ/Prec:11.0/14.2
2021/01/19 10:35:00 batch 14Succ/Prec:16.2/20.8
2021/01/19 10:35:04 batch 15Succ/Prec:39.6/74.3
2021/01/19 10:35:13 batch 16Succ/Prec:6.3/6.9
2021/01/19 10:35:22 batch 17Succ/Prec:21.7/54.8
2021/01/19 10:35:24 batch 18Succ/Prec:30.5/66.5
2021/01/19 10:35:27 batch 19Succ/Prec:5.1/4.7
2021/01/19 10:35:28 batch 20Succ/Prec:48.7/72.3
2021/01/19 10:35:35 batch 21Succ/Prec:51.2/84.3
2021/01/19 10:35:36 batch 22Succ/Prec:15.4/59.8
2021/01/19 10:35:44 batch 23Succ/Prec:22.5/34.8
2021/01/19 10:35:46 batch 24Succ/Prec:62.0/91.1
2021/01/19 10:35:52 batch 25Succ/Prec:30.3/60.9
2021/01/19 10:35:55 batch 26Succ/Prec:7.4/21.0
2021/01/19 10:35:58 batch 27Succ/Prec:8.3/15.4
2021/01/19 10:36:00 batch 28Succ/Prec:9.3/14.6
2021/01/19 10:36:02 batch 29Succ/Prec:5.1/6.2
2021/01/19 10:36:07 batch 30Succ/Prec:59.1/91.4
2021/01/19 10:36:12 batch 31Succ/Prec:28.7/43.8
2021/01/19 10:36:17 batch 32Succ/Prec:27.1/59.9
2021/01/19 10:36:21 batch 33Succ/Prec:11.6/18.6
2021/01/19 10:36:24 batch 34Succ/Prec:60.5/91.7
2021/01/19 10:36:27 batch 35Succ/Prec:9.5/26.8
2021/01/19 10:36:45 batch 36Succ/Prec:25.0/63.2
2021/01/19 10:37:01 batch 37Succ/Prec:45.7/82.3
2021/01/19 10:37:09 batch 38Succ/Prec:27.1/39.3
2021/01/19 10:37:13 batch 39Succ/Prec:5.4/5.7
2021/01/19 10:37:21 batch 40Succ/Prec:11.3/20.2
2021/01/19 10:37:31 batch 41Succ/Prec:27.1/46.5
2021/01/19 10:37:39 batch 42Succ/Prec:34.8/62.1
2021/01/19 10:37:44 batch 43Succ/Prec:44.6/83.1
2021/01/19 10:37:50 batch 44Succ/Prec:19.7/27.7
2021/01/19 10:37:55 batch 45Succ/Prec:21.9/45.5
2021/01/19 10:37:59 batch 46Succ/Prec:31.2/76.8
2021/01/19 10:38:06 batch 47Succ/Prec:45.5/75.1
2021/01/19 10:38:10 batch 48Succ/Prec:5.3/9.0
2021/01/19 10:38:16 batch 49Succ/Prec:54.1/87.3
2021/01/19 10:38:19 batch 50Succ/Prec:7.5/16.9
2021/01/19 10:38:22 batch 51Succ/Prec:49.7/80.6
2021/01/19 10:38:24 batch 52Succ/Prec:52.4/87.8
2021/01/19 10:38:26 batch 53Succ/Prec:7.3/12.5
2021/01/19 10:38:29 batch 54Succ/Prec:42.5/80.3
2021/01/19 10:38:30 batch 55Succ/Prec:27.5/47.1
2021/01/19 10:38:32 batch 56Succ/Prec:10.0/42.7
2021/01/19 10:38:33 batch 57Succ/Prec:11.3/21.3
2021/01/19 10:38:36 batch 58Succ/Prec:45.5/79.9
2021/01/19 10:38:41 batch 59Succ/Prec:53.6/86.4
2021/01/19 10:38:45 batch 60Succ/Prec:4.0/2.5
2021/01/19 10:38:48 batch 61Succ/Prec:5.5/8.2
2021/01/19 10:38:52 batch 62Succ/Prec:53.3/89.1
2021/01/19 10:38:52 mean Succ/Prec 30.47840013140605/54.135183968462556
