2021/02/22 20:25:58 ======================================================
2021/02/22 20:26:01 batch 1Succ/Prec:85.9/94.1
2021/02/22 20:26:02 batch 2Succ/Prec:17.9/27.2
2021/02/22 20:26:10 batch 3Succ/Prec:50.9/76.9
2021/02/22 20:26:19 batch 4Succ/Prec:64.6/77.1
2021/02/22 20:26:24 batch 5Succ/Prec:3.0/0.6
2021/02/22 20:26:25 batch 6Succ/Prec:60.3/79.3
2021/02/22 20:26:27 batch 7Succ/Prec:55.5/81.5
2021/02/22 20:26:33 batch 8Succ/Prec:72.2/90.0
2021/02/22 20:26:34 batch 9Succ/Prec:91.1/96.2
2021/02/22 20:26:35 batch 10Succ/Prec:79.2/90.7
2021/02/22 20:26:37 batch 11Succ/Prec:82.4/92.5
2021/02/22 20:26:40 batch 12Succ/Prec:76.4/91.1
2021/02/22 20:26:44 batch 13Succ/Prec:64.7/77.0
2021/02/22 20:26:47 batch 14Succ/Prec:65.8/84.7
2021/02/22 20:26:50 batch 15Succ/Prec:68.0/87.1
2021/02/22 20:26:55 batch 16Succ/Prec:61.8/84.9
2021/02/22 20:27:02 batch 17Succ/Prec:72.6/86.0
2021/02/22 20:27:04 batch 18Succ/Prec:64.4/85.1
2021/02/22 20:27:05 batch 19Succ/Prec:57.4/76.7
2021/02/22 20:27:09 batch 20Succ/Prec:52.6/78.6
2021/02/22 20:27:11 batch 21Succ/Prec:82.8/91.5
2021/02/22 20:27:14 batch 22Succ/Prec:56.9/81.4
2021/02/22 20:27:17 batch 23Succ/Prec:74.4/90.1
2021/02/22 20:27:20 batch 24Succ/Prec:63.7/84.0
2021/02/22 20:27:22 batch 25Succ/Prec:45.6/74.2
2021/02/22 20:27:41 batch 26Succ/Prec:52.7/75.0
2021/02/22 20:27:43 batch 27Succ/Prec:52.7/77.4
2021/02/22 20:27:44 batch 28Succ/Prec:78.0/90.1
2021/02/22 20:27:45 batch 29Succ/Prec:28.0/32.7
2021/02/22 20:27:47 batch 30Succ/Prec:72.4/88.7
2021/02/22 20:27:47 batch 31Succ/Prec:72.8/87.9
2021/02/22 20:27:48 batch 32Succ/Prec:78.1/92.1
2021/02/22 20:27:49 batch 33Succ/Prec:78.8/91.6
2021/02/22 20:27:50 batch 34Succ/Prec:72.0/88.0
2021/02/22 20:27:51 batch 35Succ/Prec:79.6/91.4
2021/02/22 20:27:51 batch 36Succ/Prec:76.4/90.5
2021/02/22 20:27:52 batch 37Succ/Prec:76.1/86.1
2021/02/22 20:27:54 batch 38Succ/Prec:66.3/82.9
2021/02/22 20:27:54 batch 39Succ/Prec:82.5/89.6
2021/02/22 20:27:55 batch 40Succ/Prec:91.1/96.1
2021/02/22 20:27:56 batch 41Succ/Prec:75.6/89.7
2021/02/22 20:27:58 batch 42Succ/Prec:4.9/2.6
2021/02/22 20:27:58 batch 43Succ/Prec:88.2/95.0
2021/02/22 20:28:00 batch 44Succ/Prec:61.8/83.2
2021/02/22 20:28:02 batch 45Succ/Prec:50.4/76.5
2021/02/22 20:28:04 batch 46Succ/Prec:66.6/83.9
2021/02/22 20:28:06 batch 47Succ/Prec:56.7/79.6
2021/02/22 20:28:07 batch 48Succ/Prec:74.8/89.9
2021/02/22 20:28:08 batch 49Succ/Prec:82.9/92.9
2021/02/22 20:28:09 batch 50Succ/Prec:74.0/90.3
2021/02/22 20:28:11 batch 51Succ/Prec:71.2/87.5
2021/02/22 20:28:14 batch 52Succ/Prec:62.7/83.6
2021/02/22 20:28:14 batch 53Succ/Prec:77.7/89.0
2021/02/22 20:28:16 batch 54Succ/Prec:75.1/90.3
2021/02/22 20:28:17 batch 55Succ/Prec:78.2/91.4
2021/02/22 20:28:17 batch 56Succ/Prec:73.3/88.7
2021/02/22 20:28:19 batch 57Succ/Prec:76.0/90.0
2021/02/22 20:28:19 batch 58Succ/Prec:82.9/93.1
2021/02/22 20:28:21 batch 59Succ/Prec:64.5/84.6
2021/02/22 20:28:21 batch 60Succ/Prec:84.8/93.5
2021/02/22 20:28:22 batch 61Succ/Prec:88.6/95.0
2021/02/22 20:28:23 batch 62Succ/Prec:72.3/87.7
2021/02/22 20:28:24 batch 63Succ/Prec:73.6/90.2
2021/02/22 20:28:25 batch 64Succ/Prec:66.3/86.9
2021/02/22 20:28:26 batch 65Succ/Prec:71.6/85.6
2021/02/22 20:28:27 batch 66Succ/Prec:75.5/80.2
2021/02/22 20:28:27 batch 67Succ/Prec:59.4/80.2
2021/02/22 20:28:28 batch 68Succ/Prec:75.0/88.2
2021/02/22 20:28:30 batch 69Succ/Prec:67.9/87.0
2021/02/22 20:28:31 batch 70Succ/Prec:76.7/90.1
2021/02/22 20:28:31 batch 71Succ/Prec:80.4/92.9
2021/02/22 20:28:32 batch 72Succ/Prec:76.0/91.0
2021/02/22 20:28:34 batch 73Succ/Prec:67.0/88.0
2021/02/22 20:28:34 batch 74Succ/Prec:72.9/88.2
2021/02/22 20:28:35 batch 75Succ/Prec:85.6/94.4
2021/02/22 20:28:36 batch 76Succ/Prec:75.8/90.2
2021/02/22 20:28:37 batch 77Succ/Prec:66.3/56.2
2021/02/22 20:28:37 batch 78Succ/Prec:86.0/95.4
2021/02/22 20:28:39 batch 79Succ/Prec:77.7/92.1
2021/02/22 20:28:39 batch 80Succ/Prec:86.2/88.8
2021/02/22 20:28:40 batch 81Succ/Prec:69.1/87.7
2021/02/22 20:28:40 batch 82Succ/Prec:76.8/90.9
2021/02/22 20:28:42 batch 83Succ/Prec:67.9/87.0
2021/02/22 20:28:42 batch 84Succ/Prec:76.2/91.7
2021/02/22 20:28:44 batch 85Succ/Prec:56.2/77.4
2021/02/22 20:28:44 batch 86Succ/Prec:73.3/85.6
2021/02/22 20:28:45 batch 87Succ/Prec:75.9/90.0
2021/02/22 20:28:47 batch 88Succ/Prec:49.1/76.4
2021/02/22 20:28:48 batch 89Succ/Prec:20.5/25.1
2021/02/22 20:28:48 batch 90Succ/Prec:72.7/89.1
2021/02/22 20:28:50 batch 91Succ/Prec:61.1/81.8
2021/02/22 20:28:51 batch 92Succ/Prec:41.8/41.8
2021/02/22 20:28:52 batch 93Succ/Prec:78.0/90.0
2021/02/22 20:28:53 batch 94Succ/Prec:72.3/89.5
2021/02/22 20:28:54 batch 95Succ/Prec:20.5/22.8
2021/02/22 20:28:55 batch 96Succ/Prec:56.4/79.2
2021/02/22 20:28:56 batch 97Succ/Prec:53.3/74.0
2021/02/22 20:28:58 batch 98Succ/Prec:61.7/83.9
2021/02/22 20:29:00 batch 99Succ/Prec:55.6/79.9
2021/02/22 20:29:01 batch 100Succ/Prec:73.3/89.5
2021/02/22 20:29:02 batch 101Succ/Prec:74.5/83.6
2021/02/22 20:29:03 batch 102Succ/Prec:81.6/90.8
2021/02/22 20:29:04 batch 103Succ/Prec:63.6/84.6
2021/02/22 20:29:05 batch 104Succ/Prec:78.3/92.9
2021/02/22 20:29:14 batch 105Succ/Prec:11.6/15.1
2021/02/22 20:29:15 batch 106Succ/Prec:68.7/88.7
2021/02/22 20:29:23 batch 107Succ/Prec:48.7/73.5
2021/02/22 20:29:23 batch 108Succ/Prec:72.0/89.2
2021/02/22 20:29:25 batch 109Succ/Prec:64.4/82.0
2021/02/22 20:29:26 batch 110Succ/Prec:60.6/83.4
2021/02/22 20:29:26 batch 111Succ/Prec:87.5/95.0
2021/02/22 20:29:27 batch 112Succ/Prec:100.0/100.0
2021/02/22 20:29:27 batch 113Succ/Prec:83.8/94.7
2021/02/22 20:29:28 batch 114Succ/Prec:90.0/93.8
2021/02/22 20:29:29 batch 115Succ/Prec:70.6/90.3
2021/02/22 20:29:30 batch 116Succ/Prec:40.4/62.6
2021/02/22 20:29:30 batch 117Succ/Prec:78.1/94.4
2021/02/22 20:29:31 batch 118Succ/Prec:75.6/89.4
2021/02/22 20:29:31 batch 119Succ/Prec:53.5/78.1
2021/02/22 20:29:33 batch 120Succ/Prec:34.7/54.7
2021/02/22 20:29:33 mean Succ/Prec 58.03121108343711/75.08717310087172
