2021/01/30 12:47:41 ======================================================
2021/01/30 12:47:44 batch 1Succ/Prec:84.7/94.7
2021/01/30 12:47:46 batch 2Succ/Prec:16.5/21.0
2021/01/30 12:47:53 batch 3Succ/Prec:54.8/79.3
2021/01/30 12:48:02 batch 4Succ/Prec:64.7/77.7
2021/01/30 12:48:08 batch 5Succ/Prec:18.1/22.5
2021/01/30 12:48:09 batch 6Succ/Prec:55.9/76.1
2021/01/30 12:48:11 batch 7Succ/Prec:58.2/83.1
2021/01/30 12:48:17 batch 8Succ/Prec:72.9/89.8
2021/01/30 12:48:17 batch 9Succ/Prec:91.4/97.1
2021/01/30 12:48:19 batch 10Succ/Prec:77.5/89.9
2021/01/30 12:48:21 batch 11Succ/Prec:82.6/93.4
2021/01/30 12:48:23 batch 12Succ/Prec:71.6/87.1
2021/01/30 12:48:27 batch 13Succ/Prec:65.4/80.0
2021/01/30 12:48:31 batch 14Succ/Prec:66.9/85.5
2021/01/30 12:48:33 batch 15Succ/Prec:68.7/87.2
2021/01/30 12:48:38 batch 16Succ/Prec:58.7/82.6
2021/01/30 12:48:44 batch 17Succ/Prec:73.8/86.5
2021/01/30 12:48:46 batch 18Succ/Prec:64.9/84.9
2021/01/30 12:48:48 batch 19Succ/Prec:66.4/81.6
2021/01/30 12:48:51 batch 20Succ/Prec:52.8/79.0
2021/01/30 12:48:53 batch 21Succ/Prec:82.0/91.3
2021/01/30 12:48:56 batch 22Succ/Prec:40.3/72.3
2021/01/30 12:48:59 batch 23Succ/Prec:71.0/87.1
2021/01/30 12:49:02 batch 24Succ/Prec:63.2/83.9
2021/01/30 12:49:04 batch 25Succ/Prec:41.2/71.6
2021/01/30 12:49:22 batch 26Succ/Prec:53.7/75.3
2021/01/30 12:49:24 batch 27Succ/Prec:57.3/80.4
2021/01/30 12:49:25 batch 28Succ/Prec:78.8/91.3
2021/01/30 12:49:26 batch 29Succ/Prec:69.0/82.8
2021/01/30 12:49:28 batch 30Succ/Prec:73.2/89.2
2021/01/30 12:49:28 batch 31Succ/Prec:67.8/82.9
2021/01/30 12:49:29 batch 32Succ/Prec:77.8/90.4
2021/01/30 12:49:30 batch 33Succ/Prec:82.5/92.4
2021/01/30 12:49:31 batch 34Succ/Prec:66.7/85.8
2021/01/30 12:49:32 batch 35Succ/Prec:83.2/93.6
2021/01/30 12:49:33 batch 36Succ/Prec:71.2/84.7
2021/01/30 12:49:33 batch 37Succ/Prec:77.7/87.7
2021/01/30 12:49:35 batch 38Succ/Prec:67.6/86.1
