2021/02/02 23:43:53 ======================================================
2021/02/02 23:43:55 batch 1Succ/Prec:89.7/96.6
2021/02/02 23:43:57 batch 2Succ/Prec:16.8/20.7
2021/02/02 23:44:03 batch 3Succ/Prec:51.4/73.3
2021/02/02 23:44:11 batch 4Succ/Prec:64.9/77.1
2021/02/02 23:44:15 batch 5Succ/Prec:3.2/1.2
2021/02/02 23:44:16 batch 6Succ/Prec:58.9/75.4
2021/02/02 23:44:18 batch 7Succ/Prec:58.0/82.5
2021/02/02 23:44:23 batch 8Succ/Prec:72.1/89.6
2021/02/02 23:44:24 batch 9Succ/Prec:89.2/94.0
2021/02/02 23:44:25 batch 10Succ/Prec:79.9/92.3
2021/02/02 23:44:27 batch 11Succ/Prec:84.9/94.9
2021/02/02 23:44:29 batch 12Succ/Prec:77.2/91.0
2021/02/02 23:44:32 batch 13Succ/Prec:63.4/74.9
2021/02/02 23:44:35 batch 14Succ/Prec:68.4/85.3
2021/02/02 23:44:37 batch 15Succ/Prec:69.2/87.4
2021/02/02 23:44:42 batch 16Succ/Prec:62.5/84.9
2021/02/02 23:44:47 batch 17Succ/Prec:74.1/86.8
2021/02/02 23:44:49 batch 18Succ/Prec:64.4/83.7
2021/02/02 23:44:50 batch 19Succ/Prec:63.2/71.3
2021/02/02 23:44:54 batch 20Succ/Prec:54.4/79.8
2021/02/02 23:44:55 batch 21Succ/Prec:80.3/90.0
2021/02/02 23:44:58 batch 22Succ/Prec:56.4/82.7
2021/02/02 23:45:00 batch 23Succ/Prec:75.7/91.0
2021/02/02 23:45:03 batch 24Succ/Prec:59.3/81.4
2021/02/02 23:45:05 batch 25Succ/Prec:42.3/72.6
2021/02/02 23:45:20 batch 26Succ/Prec:54.4/75.5
2021/02/02 23:45:22 batch 27Succ/Prec:59.2/81.2
2021/02/02 23:45:23 batch 28Succ/Prec:76.8/88.3
2021/02/02 23:45:24 batch 29Succ/Prec:30.2/35.1
2021/02/02 23:45:25 batch 30Succ/Prec:74.4/88.9
2021/02/02 23:45:26 batch 31Succ/Prec:71.9/82.1
2021/02/02 23:45:27 batch 32Succ/Prec:80.3/92.6
2021/02/02 23:45:28 batch 33Succ/Prec:75.5/87.6
2021/02/02 23:45:29 batch 34Succ/Prec:70.8/86.6
2021/02/02 23:45:29 batch 35Succ/Prec:82.5/92.1
2021/02/02 23:45:30 batch 36Succ/Prec:75.7/88.9
2021/02/02 23:45:31 batch 37Succ/Prec:79.8/90.8
2021/02/02 23:45:32 batch 38Succ/Prec:68.4/85.6
2021/02/02 23:45:33 batch 39Succ/Prec:90.8/94.6
2021/02/02 23:45:33 batch 40Succ/Prec:88.9/96.1
2021/02/02 23:45:34 batch 41Succ/Prec:80.3/93.5
2021/02/02 23:45:36 batch 42Succ/Prec:6.3/3.6
2021/02/02 23:45:36 batch 43Succ/Prec:81.8/87.7
2021/02/02 23:45:38 batch 44Succ/Prec:59.4/83.4
2021/02/02 23:45:40 batch 45Succ/Prec:63.3/84.0
2021/02/02 23:45:41 batch 46Succ/Prec:69.4/87.0
2021/02/02 23:45:43 batch 47Succ/Prec:58.1/80.6
2021/02/02 23:45:44 batch 48Succ/Prec:76.8/90.5
2021/02/02 23:45:45 batch 49Succ/Prec:84.3/91.4
2021/02/02 23:45:46 batch 50Succ/Prec:73.1/91.3
2021/02/02 23:45:48 batch 51Succ/Prec:63.3/79.3
2021/02/02 23:45:50 batch 52Succ/Prec:64.4/84.4
2021/02/02 23:45:51 batch 53Succ/Prec:73.0/83.3
2021/02/02 23:45:52 batch 54Succ/Prec:77.9/92.0
2021/02/02 23:45:53 batch 55Succ/Prec:75.0/89.9
2021/02/02 23:45:54 batch 56Succ/Prec:74.7/90.0
2021/02/02 23:45:55 batch 57Succ/Prec:77.4/91.1
2021/02/02 23:45:56 batch 58Succ/Prec:87.9/95.2
2021/02/02 23:45:57 batch 59Succ/Prec:64.5/84.4
2021/02/02 23:45:57 batch 60Succ/Prec:83.5/92.7
2021/02/02 23:45:58 batch 61Succ/Prec:88.6/93.6
2021/02/02 23:45:59 batch 62Succ/Prec:77.7/91.0
2021/02/02 23:45:59 batch 63Succ/Prec:73.4/90.4
2021/02/02 23:46:00 batch 64Succ/Prec:66.8/87.9
2021/02/02 23:46:01 batch 65Succ/Prec:69.0/83.7
2021/02/02 23:46:02 batch 66Succ/Prec:75.5/84.7
2021/02/02 23:46:03 batch 67Succ/Prec:60.8/80.2
2021/02/02 23:46:04 batch 68Succ/Prec:77.6/90.6
2021/02/02 23:46:05 batch 69Succ/Prec:68.6/86.5
2021/02/02 23:46:06 batch 70Succ/Prec:80.6/90.8
2021/02/02 23:46:07 batch 71Succ/Prec:81.3/93.2
2021/02/02 23:46:07 batch 72Succ/Prec:78.0/90.7
2021/02/02 23:46:09 batch 73Succ/Prec:65.9/86.8
2021/02/02 23:46:10 batch 74Succ/Prec:74.2/89.2
2021/02/02 23:46:10 batch 75Succ/Prec:81.7/90.6
2021/02/02 23:46:11 batch 76Succ/Prec:74.0/89.1
2021/02/02 23:46:12 batch 77Succ/Prec:63.8/50.0
2021/02/02 23:46:12 batch 78Succ/Prec:85.8/95.9
2021/02/02 23:46:14 batch 79Succ/Prec:75.9/91.3
2021/02/02 23:46:14 batch 80Succ/Prec:91.3/91.2
2021/02/02 23:46:15 batch 81Succ/Prec:69.1/88.0
2021/02/02 23:46:15 batch 82Succ/Prec:75.5/90.5
2021/02/02 23:46:16 batch 83Succ/Prec:66.8/84.6
2021/02/02 23:46:17 batch 84Succ/Prec:77.8/92.3
2021/02/02 23:46:18 batch 85Succ/Prec:58.4/78.5
2021/02/02 23:46:19 batch 86Succ/Prec:79.2/94.4
2021/02/02 23:46:20 batch 87Succ/Prec:78.6/90.9
2021/02/02 23:46:21 batch 88Succ/Prec:54.0/79.7
2021/02/02 23:46:22 batch 89Succ/Prec:21.6/25.7
2021/02/02 23:46:23 batch 90Succ/Prec:73.6/89.5
2021/02/02 23:46:25 batch 91Succ/Prec:60.6/80.6
2021/02/02 23:46:26 batch 92Succ/Prec:39.9/42.7
2021/02/02 23:46:26 batch 93Succ/Prec:74.0/85.0
2021/02/02 23:46:27 batch 94Succ/Prec:71.1/88.0
2021/02/02 23:46:28 batch 95Succ/Prec:21.6/22.8
2021/02/02 23:46:29 batch 96Succ/Prec:61.9/82.6
2021/02/02 23:46:30 batch 97Succ/Prec:24.6/27.6
2021/02/02 23:46:32 batch 98Succ/Prec:62.6/85.1
2021/02/02 23:46:34 batch 99Succ/Prec:55.7/80.6
2021/02/02 23:46:34 batch 100Succ/Prec:73.9/89.8
2021/02/02 23:46:36 batch 101Succ/Prec:72.8/83.1
2021/02/02 23:46:37 batch 102Succ/Prec:79.8/88.7
2021/02/02 23:46:37 batch 103Succ/Prec:26.1/26.1
2021/02/02 23:46:39 batch 104Succ/Prec:80.9/93.4
2021/02/02 23:46:46 batch 105Succ/Prec:11.6/13.9
2021/02/02 23:46:47 batch 106Succ/Prec:71.5/89.8
2021/02/02 23:46:53 batch 107Succ/Prec:26.3/39.0
2021/02/02 23:46:54 batch 108Succ/Prec:72.5/89.8
2021/02/02 23:46:55 batch 109Succ/Prec:62.8/80.4
2021/02/02 23:46:56 batch 110Succ/Prec:59.9/83.6
2021/02/02 23:46:56 batch 111Succ/Prec:85.8/95.0
2021/02/02 23:46:57 batch 112Succ/Prec:100.0/100.0
2021/02/02 23:46:58 batch 113Succ/Prec:81.2/93.4
2021/02/02 23:46:58 batch 114Succ/Prec:90.0/96.2
2021/02/02 23:46:59 batch 115Succ/Prec:71.3/90.3
2021/02/02 23:47:00 batch 116Succ/Prec:40.1/62.6
2021/02/02 23:47:00 batch 117Succ/Prec:78.1/93.1
2021/02/02 23:47:01 batch 118Succ/Prec:74.4/86.9
2021/02/02 23:47:02 batch 119Succ/Prec:55.0/80.8
2021/02/02 23:47:03 batch 120Succ/Prec:35.9/54.8
2021/02/02 23:47:04 mean Succ/Prec 57.548645703611456/73.22034557907845
