2021/02/28 20:58:27 ======================================================
2021/02/28 20:58:30 batch 1Succ/Prec:87.2/93.4
2021/02/28 20:58:33 batch 2Succ/Prec:77.4/88.7
2021/02/28 20:58:40 batch 3Succ/Prec:80.2/90.8
2021/02/28 20:58:49 batch 4Succ/Prec:78.6/84.5
2021/02/28 20:58:54 batch 5Succ/Prec:78.0/83.5
2021/02/28 20:58:55 batch 6Succ/Prec:81.7/88.6
2021/02/28 20:58:58 batch 7Succ/Prec:78.5/89.2
2021/02/28 20:59:04 batch 8Succ/Prec:87.0/94.9
2021/02/28 20:59:05 batch 9Succ/Prec:83.3/91.5
2021/02/28 20:59:06 batch 10Succ/Prec:90.3/95.9
2021/02/28 20:59:08 batch 11Succ/Prec:92.4/96.5
2021/02/28 20:59:10 batch 12Succ/Prec:87.5/93.6
2021/02/28 20:59:14 batch 13Succ/Prec:81.1/88.7
2021/02/28 20:59:17 batch 14Succ/Prec:83.7/90.0
2021/02/28 20:59:20 batch 15Succ/Prec:85.5/91.6
2021/02/28 20:59:24 batch 16Succ/Prec:84.3/92.7
2021/02/28 20:59:30 batch 17Succ/Prec:87.2/91.2
2021/02/28 20:59:32 batch 18Succ/Prec:81.2/91.4
2021/02/28 20:59:33 batch 19Succ/Prec:76.7/87.7
2021/02/28 20:59:37 batch 20Succ/Prec:76.8/87.6
2021/02/28 20:59:38 batch 21Succ/Prec:85.7/91.3
2021/02/28 20:59:41 batch 22Succ/Prec:82.4/91.3
2021/02/28 20:59:43 batch 23Succ/Prec:89.7/95.5
2021/02/28 20:59:46 batch 24Succ/Prec:82.5/89.9
2021/02/28 20:59:48 batch 25Succ/Prec:79.8/89.8
2021/02/28 21:00:06 batch 26Succ/Prec:87.8/94.8
2021/02/28 21:00:08 batch 27Succ/Prec:79.4/89.1
2021/02/28 21:00:09 batch 28Succ/Prec:85.5/88.0
2021/02/28 21:00:10 batch 29Succ/Prec:71.5/81.6
2021/02/28 21:00:12 batch 30Succ/Prec:83.1/89.8
2021/02/28 21:00:12 batch 31Succ/Prec:75.4/88.8
2021/02/28 21:00:13 batch 32Succ/Prec:88.6/94.0
2021/02/28 21:00:14 batch 33Succ/Prec:84.2/89.4
2021/02/28 21:00:15 batch 34Succ/Prec:79.4/87.7
2021/02/28 21:00:15 batch 35Succ/Prec:83.9/91.4
2021/02/28 21:00:16 batch 36Succ/Prec:83.8/90.5
2021/02/28 21:00:17 batch 37Succ/Prec:81.7/89.2
2021/02/28 21:00:18 batch 38Succ/Prec:76.7/81.6
2021/02/28 21:00:19 batch 39Succ/Prec:81.7/89.6
2021/02/28 21:00:19 batch 40Succ/Prec:90.8/95.5
2021/02/28 21:00:20 batch 41Succ/Prec:80.3/92.1
2021/02/28 21:00:22 batch 42Succ/Prec:69.3/74.2
2021/02/28 21:00:23 batch 43Succ/Prec:81.8/91.8
2021/02/28 21:00:24 batch 44Succ/Prec:87.6/93.5
2021/02/28 21:00:26 batch 45Succ/Prec:84.0/90.9
2021/02/28 21:00:27 batch 46Succ/Prec:83.6/90.0
2021/02/28 21:00:29 batch 47Succ/Prec:82.1/90.4
2021/02/28 21:00:31 batch 48Succ/Prec:86.8/93.8
2021/02/28 21:00:31 batch 49Succ/Prec:87.1/92.9
2021/02/28 21:00:32 batch 50Succ/Prec:85.7/94.0
2021/02/28 21:00:34 batch 51Succ/Prec:87.8/93.3
2021/02/28 21:00:36 batch 52Succ/Prec:83.1/90.9
2021/02/28 21:00:37 batch 53Succ/Prec:79.7/87.7
2021/02/28 21:00:38 batch 54Succ/Prec:89.9/94.6
2021/02/28 21:00:39 batch 55Succ/Prec:86.6/93.6
2021/02/28 21:00:40 batch 56Succ/Prec:83.0/89.7
2021/02/28 21:00:41 batch 57Succ/Prec:80.6/91.9
2021/02/28 21:00:41 batch 58Succ/Prec:91.4/96.0
2021/02/28 21:00:43 batch 59Succ/Prec:87.2/93.3
2021/02/28 21:00:43 batch 60Succ/Prec:85.2/91.5
2021/02/28 21:00:44 batch 61Succ/Prec:93.6/95.7
2021/02/28 21:00:44 batch 62Succ/Prec:83.1/89.8
2021/02/28 21:00:45 batch 63Succ/Prec:88.8/95.7
2021/02/28 21:00:46 batch 64Succ/Prec:83.7/91.9
2021/02/28 21:00:47 batch 65Succ/Prec:83.4/88.3
2021/02/28 21:00:48 batch 66Succ/Prec:82.0/89.2
2021/02/28 21:00:49 batch 67Succ/Prec:75.1/82.9
2021/02/28 21:00:50 batch 68Succ/Prec:85.6/92.4
2021/02/28 21:00:51 batch 69Succ/Prec:81.3/90.0
2021/02/28 21:00:52 batch 70Succ/Prec:85.8/92.6
2021/02/28 21:00:53 batch 71Succ/Prec:90.7/96.2
2021/02/28 21:00:53 batch 72Succ/Prec:91.7/94.7
2021/02/28 21:00:55 batch 73Succ/Prec:85.5/93.4
2021/02/28 21:00:56 batch 74Succ/Prec:81.1/90.3
2021/02/28 21:00:56 batch 75Succ/Prec:88.3/95.0
2021/02/28 21:00:57 batch 76Succ/Prec:84.2/91.5
2021/02/28 21:00:58 batch 77Succ/Prec:63.8/50.0
2021/02/28 21:00:59 batch 78Succ/Prec:90.8/96.9
2021/02/28 21:01:00 batch 79Succ/Prec:87.2/94.0
2021/02/28 21:01:00 batch 80Succ/Prec:83.8/88.8
2021/02/28 21:01:01 batch 81Succ/Prec:87.0/93.8
2021/02/28 21:01:01 batch 82Succ/Prec:89.5/96.4
2021/02/28 21:01:02 batch 83Succ/Prec:86.8/94.1
2021/02/28 21:01:03 batch 84Succ/Prec:88.8/96.7
2021/02/28 21:01:04 batch 85Succ/Prec:84.2/92.0
2021/02/28 21:01:05 batch 86Succ/Prec:83.8/94.0
2021/02/28 21:01:06 batch 87Succ/Prec:84.5/90.9
2021/02/28 21:01:07 batch 88Succ/Prec:86.8/94.3
2021/02/28 21:01:08 batch 89Succ/Prec:64.9/73.8
2021/02/28 21:01:09 batch 90Succ/Prec:72.3/75.7
2021/02/28 21:01:11 batch 91Succ/Prec:84.3/91.0
2021/02/28 21:01:11 batch 92Succ/Prec:76.5/87.4
2021/02/28 21:01:12 batch 93Succ/Prec:80.0/88.0
2021/02/28 21:01:13 batch 94Succ/Prec:85.2/93.6
2021/02/28 21:01:14 batch 95Succ/Prec:42.7/42.3
2021/02/28 21:01:15 batch 96Succ/Prec:83.4/92.9
2021/02/28 21:01:16 batch 97Succ/Prec:74.1/84.2
2021/02/28 21:01:18 batch 98Succ/Prec:87.6/94.0
2021/02/28 21:01:19 batch 99Succ/Prec:84.7/91.2
