2021/02/28 21:10:22 ======================================================
2021/02/28 21:10:24 batch 1Succ/Prec:85.9/93.4
2021/02/28 21:10:27 batch 2Succ/Prec:84.4/91.5
2021/02/28 21:10:34 batch 3Succ/Prec:84.6/91.6
2021/02/28 21:10:42 batch 4Succ/Prec:76.2/80.2
2021/02/28 21:10:47 batch 5Succ/Prec:79.2/83.4
2021/02/28 21:10:48 batch 6Succ/Prec:86.0/91.4
2021/02/28 21:10:50 batch 7Succ/Prec:85.7/90.8
2021/02/28 21:10:55 batch 8Succ/Prec:87.5/93.8
2021/02/28 21:10:56 batch 9Succ/Prec:91.7/96.0
2021/02/28 21:10:57 batch 10Succ/Prec:89.4/93.3
2021/02/28 21:10:59 batch 11Succ/Prec:93.6/96.0
2021/02/28 21:11:01 batch 12Succ/Prec:86.2/91.1
2021/02/28 21:11:05 batch 13Succ/Prec:86.3/92.7
2021/02/28 21:11:08 batch 14Succ/Prec:87.4/91.9
2021/02/28 21:11:10 batch 15Succ/Prec:87.3/92.6
2021/02/28 21:11:15 batch 16Succ/Prec:84.1/92.1
2021/02/28 21:11:20 batch 17Succ/Prec:89.4/91.9
2021/02/28 21:11:22 batch 18Succ/Prec:80.1/89.0
2021/02/28 21:11:23 batch 19Succ/Prec:75.5/87.7
2021/02/28 21:11:27 batch 20Succ/Prec:81.0/89.6
2021/02/28 21:11:28 batch 21Succ/Prec:86.2/92.0
2021/02/28 21:11:31 batch 22Succ/Prec:83.8/92.0
2021/02/28 21:11:33 batch 23Succ/Prec:89.7/92.7
2021/02/28 21:11:36 batch 24Succ/Prec:81.6/89.4
2021/02/28 21:11:38 batch 25Succ/Prec:85.1/92.2
2021/02/28 21:11:54 batch 26Succ/Prec:89.5/94.8
2021/02/28 21:11:56 batch 27Succ/Prec:78.7/88.6
2021/02/28 21:11:57 batch 28Succ/Prec:88.9/92.9
2021/02/28 21:11:58 batch 29Succ/Prec:76.9/85.1
2021/02/28 21:12:00 batch 30Succ/Prec:83.7/90.2
2021/02/28 21:12:00 batch 31Succ/Prec:73.4/86.8
2021/02/28 21:12:01 batch 32Succ/Prec:88.3/94.0
2021/02/28 21:12:02 batch 33Succ/Prec:87.7/92.9
2021/02/28 21:12:03 batch 34Succ/Prec:78.7/90.1
2021/02/28 21:12:03 batch 35Succ/Prec:91.1/96.4
2021/02/28 21:12:04 batch 36Succ/Prec:84.3/89.5
2021/02/28 21:12:05 batch 37Succ/Prec:79.5/87.3
2021/02/28 21:12:06 batch 38Succ/Prec:78.3/87.0
2021/02/28 21:12:06 batch 39Succ/Prec:93.3/95.4
2021/02/28 21:12:07 batch 40Succ/Prec:92.7/96.4
2021/02/28 21:12:08 batch 41Succ/Prec:81.2/92.1
2021/02/28 21:12:10 batch 42Succ/Prec:68.0/74.6
2021/02/28 21:12:10 batch 43Succ/Prec:86.8/93.6
2021/02/28 21:12:12 batch 44Succ/Prec:88.8/93.5
2021/02/28 21:12:14 batch 45Succ/Prec:85.9/92.3
2021/02/28 21:12:15 batch 46Succ/Prec:83.3/89.0
2021/02/28 21:12:17 batch 47Succ/Prec:86.1/92.2
2021/02/28 21:12:18 batch 48Succ/Prec:93.7/96.2
2021/02/28 21:12:19 batch 49Succ/Prec:91.4/94.3
