2021/01/01 15:55:08 ======================================================
2021/01/01 15:55:21 batch 1Succ/Prec:73.5/89.9
2021/01/01 15:55:22 batch 2Succ/Prec:87.8/93.8
2021/01/01 15:55:24 batch 3Succ/Prec:79.8/92.2
2021/01/01 15:55:28 batch 4Succ/Prec:83.1/94.2
2021/01/01 15:55:32 batch 5Succ/Prec:73.8/89.5
2021/01/01 15:55:39 batch 6Succ/Prec:64.0/76.9
2021/01/01 15:55:44 batch 7Succ/Prec:68.9/85.5
2021/01/01 15:55:48 batch 8Succ/Prec:68.9/87.2
2021/01/01 15:55:56 batch 9Succ/Prec:62.0/84.5
2021/01/01 15:56:06 batch 10Succ/Prec:71.9/85.9
2021/01/01 15:56:09 batch 11Succ/Prec:63.2/84.1
2021/01/01 15:56:12 batch 12Succ/Prec:50.9/58.5
2021/01/01 15:56:18 batch 13Succ/Prec:51.7/78.7
2021/01/01 15:56:20 batch 14Succ/Prec:80.9/91.0
2021/01/01 15:56:25 batch 15Succ/Prec:56.5/82.4
2021/01/01 15:56:29 batch 16Succ/Prec:72.5/89.7
2021/01/01 15:56:34 batch 17Succ/Prec:65.4/84.2
2021/01/01 15:56:38 batch 18Succ/Prec:45.5/74.4
2021/01/01 15:57:05 batch 19Succ/Prec:52.9/75.0
2021/01/01 15:57:08 batch 20Succ/Prec:62.3/83.9
2021/01/01 15:57:10 batch 21Succ/Prec:78.5/89.6
2021/01/01 15:57:12 batch 22Succ/Prec:31.3/35.4
2021/01/01 15:57:14 batch 23Succ/Prec:73.6/89.6
2021/01/01 15:57:15 batch 24Succ/Prec:69.3/84.7
2021/01/01 15:57:16 batch 25Succ/Prec:81.7/92.1
2021/01/01 15:57:17 batch 26Succ/Prec:76.0/88.6
2021/01/01 15:57:19 batch 27Succ/Prec:73.0/88.4
2021/01/01 15:57:20 batch 28Succ/Prec:81.1/93.6
2021/01/01 15:57:21 batch 29Succ/Prec:72.2/86.8
2021/01/01 15:57:22 batch 30Succ/Prec:71.1/85.2
2021/01/01 15:57:24 batch 31Succ/Prec:66.7/82.7
2021/01/01 15:57:25 batch 32Succ/Prec:84.2/92.1
2021/01/01 15:57:26 batch 33Succ/Prec:89.5/95.2
2021/01/01 15:57:27 batch 34Succ/Prec:78.5/91.5
2021/01/01 15:57:30 batch 35Succ/Prec:5.6/3.3
2021/01/01 15:57:31 batch 36Succ/Prec:88.6/96.4
2021/01/01 15:57:33 batch 37Succ/Prec:64.8/84.9
2021/01/01 15:57:36 batch 38Succ/Prec:63.8/84.2
2021/01/01 15:57:39 batch 39Succ/Prec:68.0/86.0
2021/01/01 15:57:42 batch 40Succ/Prec:60.4/81.6
2021/01/01 15:57:44 batch 41Succ/Prec:74.5/89.7
2021/01/01 15:57:45 batch 42Succ/Prec:82.1/92.9
2021/01/01 15:57:47 batch 43Succ/Prec:71.9/90.0
2021/01/01 15:57:50 batch 44Succ/Prec:76.1/90.4
2021/01/01 15:57:53 batch 45Succ/Prec:62.7/84.6
2021/01/01 15:57:54 batch 46Succ/Prec:72.7/82.7
2021/01/01 15:57:56 batch 47Succ/Prec:76.9/90.6
2021/01/01 15:57:58 batch 48Succ/Prec:72.4/88.2
